date,precipitation,snowfall,snow_depth,location,Total Precip,,,
1/2/2014,0.13,2.4,0,JFK,2.53,,152/730,Inclement 
1/3/2014,0.22,5.5,7,JFK,5.72,,578/730,Clear
1/5/2014,0.1,0,6,JFK,0.1,,,
1/6/2014,0.41,0,1,JFK,0.41,,,
1/10/2014,0.19,0.1,0,JFK,0.29,,,
1/11/2014,0.72,0,0,JFK,0.72,,,
1/14/2014,0.55,0,0,JFK,0.55,,,
1/18/2014,0.24,0.1,0,JFK,0.34,,,
1/21/2014,0.35,6.8,0,JFK,7.15,,,
1/22/2014,0.01,0.3,7,JFK,0.31,,,
1/25/2014,0.04,0.8,5,JFK,0.84,,,
1/29/2014,0.05,1,2,JFK,1.05,,,
2/3/2014,1.08,6.7,0,JFK,7.78,,,
2/5/2014,1.2,2.2,7,JFK,3.4,,,
2/9/2014,0.13,1.5,5,JFK,1.63,,,
2/13/2014,1.27,5.5,7,JFK,6.77,,,
2/14/2014,0.13,1.4,10,JFK,1.53,,,
2/15/2014,0.11,1.6,9,JFK,1.71,,,
2/18/2014,0.15,1.6,10,JFK,1.75,,,
2/19/2014,0.31,0,8,JFK,0.31,,,
2/21/2014,0.14,0,3,JFK,0.14,,,
2/26/2014,0.03,0.5,0,JFK,0.53,,,
3/3/2014,0.04,0.6,1,JFK,0.64,,,
3/12/2014,0.15,0,0,JFK,0.15,,,
3/19/2014,0.72,0,0,JFK,0.72,,,
3/29/2014,2.6,0,0,JFK,2.6,,,
3/30/2014,0.53,0,0,JFK,0.53,,,
3/31/2014,0.21,0,0,JFK,0.21,,,
4/4/2014,0.1,0,0,JFK,0.1,,,
4/7/2014,0.35,0,0,JFK,0.35,,,
4/8/2014,0.25,0,0,JFK,0.25,,,
4/15/2014,0.65,0.1,0,JFK,0.75,,,
4/26/2014,0.71,0,0,JFK,0.71,,,
4/30/2014,4.68,0,0,JFK,4.68,,,
5/1/2014,0.24,0,0,JFK,0.24,,,
5/8/2014,0.38,0,0,JFK,0.38,,,
5/10/2014,0.79,0,0,JFK,0.79,,,
5/15/2014,0.14,0,0,JFK,0.14,,,
5/16/2014,1.26,0,0,JFK,1.26,,,
5/22/2014,0.32,0,0,JFK,0.32,,,
5/23/2014,0.32,0,0,JFK,0.32,,,
6/5/2014,0.5,0,0,JFK,0.5,,,
6/9/2014,0.95,0,0,JFK,0.95,,,
6/13/2014,0.99,0,0,JFK,0.99,,,
7/2/2014,0.52,0,0,JFK,0.52,,,
7/3/2014,0.35,0,0,JFK,0.35,,,
7/4/2014,0.32,0,0,JFK,0.32,,,
7/14/2014,1.87,0,0,JFK,1.87,,,
7/15/2014,1.03,0,0,JFK,1.03,,,
7/28/2014,0.51,0,0,JFK,0.51,,,
8/2/2014,0.4,0,0,JFK,0.4,,,
8/12/2014,0.34,0,0,JFK,0.34,,,
8/13/2014,2.92,0,0,JFK,2.92,,,
8/21/2014,0.21,0,0,JFK,0.21,,,
8/22/2014,0.13,0,0,JFK,0.13,,,
8/31/2014,0.14,0,0,JFK,0.14,,,
9/13/2014,0.29,0,0,JFK,0.29,,,
9/16/2014,0.26,0,0,JFK,0.26,,,
9/20/2014,0.37,0,0,JFK,0.37,,,
9/21/2014,0.21,0,0,JFK,0.21,,,
9/25/2014,0.23,0,0,JFK,0.23,,,
10/4/2014,0.7,0,0,JFK,0.7,,,
10/11/2014,0.45,0,0,JFK,0.45,,,
10/16/2014,0.78,0,0,JFK,0.78,,,
10/22/2014,1.42,0,0,JFK,1.42,,,
10/23/2014,0.12,0,0,JFK,0.12,,,
11/1/2014,1.03,0,0,JFK,1.03,,,
11/6/2014,0.43,0,0,JFK,0.43,,,
11/13/2014,0.11,0,0,JFK,0.11,,,
11/17/2014,1.37,0,0,JFK,1.37,,,
11/24/2014,0.45,0,0,JFK,0.45,,,
11/26/2014,1,0.1,0,JFK,1.1,,,
12/3/2014,0.15,0,0,JFK,0.15,,,
12/5/2014,0.55,0,0,JFK,0.55,,,
12/6/2014,1.24,0,0,JFK,1.24,,,
12/9/2014,3.04,0,0,JFK,3.04,,,
12/10/2014,0.11,0.3,0,JFK,0.41,,,
12/16/2014,0.3,0,0,JFK,0.3,,,
12/23/2014,0.21,0,0,JFK,0.21,,,
12/24/2014,1.05,0,0,JFK,1.05,,,
1/3/2015,0.94,0,0,JFK,0.94,,,
1/4/2015,0.47,0,0,JFK,0.47,,,
1/6/2015,0.07,1.1,0,JFK,1.17,,,
1/9/2015,0.07,1.3,0,JFK,1.37,,,
1/12/2015,0.7,0,0,JFK,0.7,,,
